name,rarity,color_identity
Dai Li Indoctrination,common,B
Dark Depths,special,Colorless
Day of Black Sun,rare,B
Deadly Precision,common,B
Deserter's Disciple,common,R
Destined Confrontation,uncommon,W
"Diaochan, Artful Beauty",special,R
Diligent Zookeeper,rare,G
Dockside Extortionist,special,R
Dragonfly Swarm,uncommon,Multicolor
Drannith Magistrate,special,W
Earth King's Lieutenant,rare,Multicolor
Earth Kingdom General,uncommon,G
Earth Kingdom Jailer,uncommon,W
Earth Kingdom Protectors,uncommon,W
Earth Kingdom Soldier,common,Multicolor
Earth Rumble,uncommon,G
Earth Rumble Wrestlers,common,Multicolor
Earth Village Ruffians,common,Multicolor
Earthbender Ascension,rare,G
Earthbending Lesson,common,G
Earthen Ally,rare,Multicolor
Eladamri's Call,special,Multicolor
Elemental Bond,special,G
Elemental Teachings,rare,G
Ember Island Production,uncommon,U
Empty City Ruse,special,W
Energybending,uncommon,Colorless
Enter the Avatar State,uncommon,W
Epic Downfall,uncommon,B
Fabled Passage,special,Colorless
Fancy Footwork,uncommon,W
Fatal Fissure,uncommon,B
Fated Firepower,mythic,R
Fervor,special,R
Fevered Visions,special,Multicolor
Fire Lord Azula,rare,Multicolor
Fire Lord Zuko,rare,Multicolor
Fire Nation Attacks,uncommon,R
Fire Nation Cadets,common,R
Fire Nation Engineer,uncommon,B
Fire Nation Palace,rare,R
Fire Nation Raider,common,R
Fire Nation Warship,uncommon,Colorless
Fire Navy Trebuchet,uncommon,B
Fire Sages,uncommon,R
Firebender Ascension,rare,R
Firebending Lesson,common,R
Firebending Student,rare,R
First-Time Flyer,common,U
Flexible Waterbender,common,U
"Flopsie, Bumi's Buddy",uncommon,G
Foggy Bottom Swamp,common,Multicolor
Foggy Swamp Hunters,common,B
Foggy Swamp Spirit Keeper,uncommon,Multicolor
Foggy Swamp Vinebender,common,G
Foggy Swamp Visions,rare,B
Force of Negation,special,U
Forecasting Fortune Teller,common,U
Gather the White Lotus,uncommon,W
Geyser Leaper,common,U
Giant Koi,common,U
Glider Kids,common,W
Glider Staff,uncommon,W
Gran-Gran,uncommon,U
Great Divide Guide,rare,G
Guru Pathik,uncommon,Multicolor
"Hakoda, Selfless Commander",rare,W
"Hama, the Bloodbender",uncommon,Multicolor
"Haru, Hidden Talent",uncommon,G
Heartbeat of Spring,special,G
Heartless Act,uncommon,B
"Hei Bai, Spirit of Balance",uncommon,Multicolor
Hermitic Herbalist,uncommon,Multicolor
Heroic Intervention,special,G
Hog-Monkey,common,B
Honest Work,uncommon,U
How to Start a Riot,common,R
Humble Defector,special,R
Iguana Parrot,common,U
Imprisoned in the Moon,special,U
Insurrection,special,R
Intruder Alarm,special,U
Invasion Reinforcements,uncommon,W
Invasion Submersible,uncommon,U
Invasion Tactics,uncommon,G
Iroh's Demonstration,uncommon,R
"Iroh, Grand Lotus",rare,Multicolor
"Iroh, Tea Master",rare,Multicolor
It'll Quench Ya!,common,U
Jasmine Dragon Tea Shop,rare,Colorless
Jeong Jeong's Deserters,common,W
"Jeong Jeong, the Deserter",uncommon,R
Jet's Brainwashing,uncommon,R
"Jet, Freedom Fighter",uncommon,Multicolor
Join the Dance,special,Multicolor
"Joo Dee, One of Many",uncommon,B
"June, Bounty Hunter",uncommon,B
"Katara, Bending Prodigy",uncommon,U
"Katara, Water Tribe's Hope",rare,Multicolor
"Katara, the Fearless",rare,Multicolor
Knowledge Seeker,uncommon,U
"Koh, the Face Stealer",mythic,B
"Koma, Cosmos Serpent",special,Multicolor
Kyoshi Battle Fan,common,Colorless
Kyoshi Island Plaza,uncommon,G
Kyoshi Village,common,Multicolor
Kyoshi Warriors,common,W
Leaves from the Vine,uncommon,G
Lightning Bolt,special,R
Lightning Strike,common,R
"Lita, Mechanical Engineer",special,W
"Lo and Li, Twin Tutors",uncommon,B
"Long Feng, Grand Secretariat",uncommon,Multicolor
Lost Days,common,U
"Mai, Jaded Edge",uncommon,R
"Mai, Scornful Striker",rare,B
Master Pakku,uncommon,U
Master Piandao,uncommon,W
Meditation Pools,common,Multicolor
Merchant of Many Hats,common,B
Messenger Hawk,common,Multicolor
Meteor Sword,uncommon,Colorless
Meteorite,special,Colorless
Mirrorwing Dragon,special,R
Misty Palms Oasis,common,Multicolor
"Momo, Friendly Flier",rare,W
"Momo, Playful Pet",uncommon,W
Mongoose Lizard,common,R
Mystic Remora,special,U
North Pole Gates,common,Multicolor
North Pole Patrol,uncommon,U
Northern Air Temple,uncommon,B
Noxious Gearhulk,special,B
Obsessive Pursuit,rare,B
Octopus Form,common,U
Omashu City,common,Multicolor
Origin of Metalbending,common,G
Ostrich-Horse,common,G
Otter-Penguin,common,U
Ozai's Cruelty,uncommon,B
"Ozai, the Phoenix King",mythic,Multicolor
Path to Redemption,common,W
Phoenix Fleet Airship,mythic,B
Pillar Launch,common,G
Pirate Peddlers,common,B
Planetarium of Wan Shi Tong,mythic,Colorless
Platypus-Bear,common,Multicolor
Pretending Poxbearers,common,Multicolor
Price of Freedom,uncommon,R
"Professor Zei, Anthropologist",uncommon,Multicolor
Prosperity,special,U
Rabaroo Troop,common,W
Ran and Shaw,rare,R
Raucous Audience,common,G
Raven Eagle,rare,B
Razor Rings,common,W
Realm of Koh,rare,B
Rebellious Captives,common,G
Redirect Lightning,rare,R
Release to Memory,special,W
Rending Volley,special,R
Return of the Wildspeaker,special,G
Rhys the Redeemed,special,Multicolor
Rites of Flourishing,special,G
Rockalanche,uncommon,G
Rocky Rebuke,common,G
Rough Rhino Cavalry,common,R
Rowdy Snowballers,common,U
Ruinous Waterbending,uncommon,B
Rumble Arena,common,Colorless
Saber-Tooth Moose-Lion,common,G
Sakashima of a Thousand Faces,special,U
Sandbender Scavengers,rare,Multicolor
Sandbenders' Storm,common,W
Scout's Warning,special,W
Searing Blood,special,R
Secret Tunnel,rare,Colorless
Secret of Bloodbending,mythic,U
Seismic Sense,uncommon,G
Serpent of the Pass,uncommon,U
Serpent's Pass,common,Multicolor
Shared Roots,uncommon,G
Shattering Spree,special,R
Sokka's Haiku,uncommon,U
"Sokka, Bold Boomeranger",rare,Multicolor
"Sokka, Lateral Strategist",uncommon,Multicolor
"Sokka, Tenacious Tactician",rare,Multicolor
Sold Out,common,B
Solstice Revelations,uncommon,R
South Pole Voyager,rare,W
Southern Air Temple,uncommon,W
Sozin's Comet,mythic,R
Sparring Dummy,uncommon,G
Spirit Water Revival,rare,U
Standstill,special,U
"Suki, Courageous Rescuer",rare,W
"Suki, Kyoshi Warrior",uncommon,Multicolor
Sun Warriors,uncommon,Multicolor
Sun-Blessed Peak,common,Multicolor
Sunbaked Canyon,special,Multicolor
Sundial of the Infinite,special,Colorless
Swampsnare Trap,common,B
Tarnished Citadel,special,Colorless
Taunting Challenge,special,G
Team Avatar,uncommon,W
Teferi's Protection,special,W
"Teo, Spirited Glider",uncommon,U
"The Boulder, Ready to Rumble",uncommon,G
The Cave of Two Lovers,uncommon,R
The Earth King,rare,G
The Fire Nation Drill,rare,B
The Great Henge,special,G
The Last Agni Kai,rare,R
The Legend of Kuruk,mythic,U
The Legend of Kyoshi,mythic,G
The Legend of Roku,mythic,R
The Legend of Yangchen,mythic,W
The Lion-Turtle,rare,Multicolor
"The Mechanist, Aerial Artisan",rare,U
The Rise of Sozin,mythic,B
The Spirit Oasis,uncommon,U
The Unagi of Kyoshi Island,rare,U
The Walls of Ba Sing Se,mythic,Colorless
Three Dreams,special,W
Tiger-Dillo,uncommon,R
Tiger-Seal,rare,U
Tolls of War,uncommon,Multicolor
"Toph, Hardheaded Teacher",rare,Multicolor
"Toph, the Blind Bandit",uncommon,G
"Toph, the First Metalbender",rare,Multicolor
Training Grounds,special,U
Treetop Freedom Fighters,common,R
Treetop Village,special,G
True Ancestry,uncommon,G
Trusty Boomerang,uncommon,Colorless
Tundra Tank,uncommon,B
Turtle-Duck,common,G
Twin Blades,uncommon,R
"Ty Lee, Artful Acrobat",uncommon,R
"Ty Lee, Chi Blocker",rare,U
Uncle Iroh,uncommon,Multicolor
United Front,mythic,W
Unlucky Cabbage Merchant,uncommon,G
"Valakut, the Molten Pinnacle",special,R
Vengeful Villagers,uncommon,W
Vindictive Warden,common,Multicolor
Visions of Beyond,special,U
Volcanic Torrent,special,R
Walltop Sentries,common,G
"Wan Shi Tong, Librarian",mythic,U
Wandering Musicians,common,Multicolor
War Balloon,uncommon,R
Warstorm Surge,special,R
Wartime Protestors,rare,R
Water Tribe Captain,common,W
Water Tribe Rallier,uncommon,W
Waterbender Ascension,rare,U
Waterbending Lesson,common,U
Waterbending Scroll,uncommon,U
Watery Grasp,common,U
White Lotus Hideout,uncommon,Colorless
White Lotus Reinforcements,uncommon,Multicolor
White Lotus Tile,mythic,Colorless
Wolfbat,uncommon,B
Yip Yip!,common,W
"Yue, the Moon Spirit",rare,U
Yuyan Archers,common,R
"Zhao, Ruthless Admiral",uncommon,Multicolor
"Zhao, the Moon Slayer",rare,R
Zuko's Conviction,uncommon,B
Zuko's Exile,common,Colorless
"Zuko, Conflicted",rare,Multicolor
"Zuko, Exiled Prince",uncommon,R
