name,rarity,color_identity
Return to the Sewers,common,U
Rhythm of the Wild,special,Multicolor
Rock Soldiers,common,R
"Rocksteady, Crash Courser",common,G
"Sally Pride, Lioness Leader",rare,W
"Savanti Romero, Time's Exile",rare,B
Saved by the Shell,uncommon,G
Sewer-veillance Cam,common,U
Shadowspear,special,Colorless
"Shark Shredder, Killer Clone",rare,B
Shredder's Armor,uncommon,B
Shredder's Revenge,common,B
Shredder's Technique,uncommon,B
"Shredder, Unrelenting",uncommon,B
Silverclad Ferocidons,special,R
Skateboard,uncommon,Colorless
"Slash, Reptile Rampager",rare,R
Slithering Cryptid,common,Multicolor
South Wind Avatar,rare,B
Spicy Oatmeal Pizza,uncommon,R
Splinter's Technique,rare,B
"Splinter, Hamato Yoshi",uncommon,B
"Splinter, Radical Rat",rare,Multicolor
Squirrelanoids,common,B
"Stockman, Mad Fly-entist",common,U
Stomped by the Foot,common,B
Super Shredder,mythic,B
Sword of Sinew and Steel,special,Colorless
TCRI Building,common,Multicolor
Tainted Treats,uncommon,Multicolor
Technodrome,mythic,Colorless
Teleportation Circle,special,W
Tenderize,common,G
The Cloning of Shredder,mythic,B
The Last Ronin,mythic,Multicolor
The Last Ronin's Technique,uncommon,W
The Neutrinos,uncommon,Multicolor
The Ooze,rare,Colorless
"Tokka & Rahzar, Terrible Twos",rare,Multicolor
Transdimensional Bovine,rare,G
Triceraton Commander,mythic,W
Trouble in Pairs,special,W
Tunnel Rats,common,B
Turncoat Kunoichi,rare,Multicolor
Turtle Blimp,uncommon,Colorless
Turtle Lair,uncommon,Colorless
Turtle Power!,rare,G
Turtle Van,rare,Colorless
Turtles Forever,rare,W
Turtles in Time,mythic,U
Umezawa's Jitte,special,Colorless
Undercity Sewers,special,Multicolor
Underworld Breach,special,R
Uneasy Alliance,common,W
Utrom Scientists,common,U
"Venus, Torn Between Worlds",uncommon,Multicolor
Waves of Aggression,special,Multicolor
Weather Maker,rare,Colorless
West Wind Avatar,uncommon,G
"Wingnut, Bat on the Belfry",uncommon,R
"Zog, Triceraton Castaway",common,R
Zoo Escapees,common,G
