name,rarity,color_identity
Dina's Guidance,rare,Multicolor
Disdainful Stroke,special,U
Dismember,special,B
Dissection Practice,uncommon,B
Divergent Equation,uncommon,U
Dreamroot Cascade,rare,Multicolor
Dualcaster Mage,special,R
Duel Tactics,uncommon,R
Duty Beyond Death,special,W
Eager Glyphmage,common,W
Echocasting Symposium,mythic,U
Efflorescence,common,G
Elemental Mascot,common,Multicolor
Elite Interceptor,common,W
Embrace the Paradox,common,Multicolor
Emeritus of Abundance,mythic,G
Emeritus of Conflict,mythic,R
Emeritus of Ideation,mythic,U
Emeritus of Truce,mythic,W
Emeritus of Woe,mythic,B
"Emil, Vastlands Roamer",uncommon,G
Empty the Warrens,special,R
Encouraging Aviator,uncommon,U
End of the Hunt,uncommon,B
"Ennis, Debate Moderator",uncommon,W
Environmental Scientist,uncommon,G
Erode,rare,W
Essence Scatter,common,U
Essenceknit Scholar,uncommon,Multicolor
Eternal Student,uncommon,B
Exhibition Tidecaller,rare,U
Expressive Firedancer,common,R
Expressive Iteration,special,Multicolor
Feed the Swarm,special,B
Fields of Strife,common,Multicolor
Fix What's Broken,rare,Multicolor
Flashback,rare,R
Flow State,uncommon,U
Flusterstorm,special,U
Follow the Lumarets,common,G
Foolish Fate,uncommon,B
Force of Will,special,U
Forum Necroscribe,uncommon,B
Forum of Amity,common,Multicolor
Fractal Anomaly,uncommon,U
Fractal Mascot,common,Multicolor
Fractal Tender,uncommon,Multicolor
Fractalize,uncommon,U
Fracture,special,Multicolor
Garrison Excavator,uncommon,R
Geometer's Arthropod,rare,Multicolor
Germination Practicum,mythic,G
Giant Growth,special,G
Glimpse of Nature,special,G
Glorious Decay,common,G
Goblin Glasswright,common,R
Graduation Day,uncommon,W
Grapple with Death,common,Multicolor
Grave Researcher,rare,B
Great Hall of the Biblioplex,rare,Colorless
Grim Haruspex,special,B
Group Project,uncommon,W
Growth Curve,uncommon,Multicolor
Hardened Academic,rare,Multicolor
Harmonized Trio,rare,U
Harsh Annotation,uncommon,W
Heated Argument,common,R
Helping Hand,special,W
Homesickness,uncommon,U
Honorbound Page,common,W
Hop to It,special,W
Hungry Graffalon,common,G
Hydro-Channeler,common,U
Imperious Inkmage,common,Multicolor
Impractical Joke,uncommon,R
Improvisation Capstone,mythic,R
Infirmary Healer,uncommon,G
Informed Inkwright,rare,W
Inkling Mascot,common,Multicolor
Inkshape Demonstrator,uncommon,W
Interjection,common,W
"Jadzi, Steward of Fate",rare,U
Jeska's Will,special,R
Joined Researchers,rare,W
Killian's Confidence,uncommon,Multicolor
"Kirol, History Buff",uncommon,Multicolor
Knockout Maneuver,special,G
Landscape Painter,common,U
Last Gasp,common,B
Lecturing Scornmage,uncommon,B
Leech Collector,uncommon,B
Library of Alexandria,special,Colorless
Living End,special,B
Living History,uncommon,R
"Lluwen, Exchange Student",uncommon,Multicolor
Locust Spray,special,B
Lorehold Charm,uncommon,Multicolor
"Lorehold, the Historian",mythic,Multicolor
Lumaret's Favor,uncommon,G
Maelstrom Artisan,rare,R
Mage Tower Referee,common,Colorless
Magmablood Archaic,rare,R
Magus of the Library,special,G
Mana Sculpt,rare,U
Masterful Flourish,common,B
Mathemagics,mythic,U
Matterbending Mage,uncommon,U
Melancholic Poet,common,B
"Mica, Reader of Ruins",uncommon,R
Mind Roots,uncommon,Multicolor
Mind into Matter,rare,Multicolor
Mindful Biomancer,common,G
Molten Note,uncommon,Multicolor
Molten-Core Maestro,rare,R
Moment of Reckoning,rare,Multicolor
Monstrous Rage,special,R
"Moseo, Vein's New Dean",rare,B
Murmuring Mystic,special,U
Muse Seeker,uncommon,U
Muse's Encouragement,common,U
"Nita, Forum Conciliator",rare,Multicolor
Noxious Newt,common,G
Old-Growth Educator,uncommon,Multicolor
Oracle's Restoration,common,G
"Orysa, Tide Choreographer",uncommon,U
Owlin Historian,common,W
"Page, Loose Leaf",common,Colorless
Paradox Gardens,common,Multicolor
Paradox Surveyor,uncommon,Multicolor
Pensive Professor,rare,U
Pest Mascot,common,Multicolor
Pestbrood Sloth,uncommon,G
Petrified Hamlet,rare,Colorless
Pick Your Poison,special,G
Pigment Wrangler,uncommon,R
Planar Engineering,rare,G
Poisoner's Apprentice,uncommon,B
Pongify,special,U
Postmortem Professor,rare,B
Potioner's Trove,common,Colorless
Pox Plague,rare,B
Practiced Offense,rare,W
Practiced Scrollsmith,uncommon,Multicolor
Preordain,special,U
Primary Research,uncommon,W
Prismari Charm,uncommon,Multicolor
"Prismari, the Inspiration",mythic,Multicolor
Prismatic Ending,special,W
Procrastinate,common,U
Proctor's Gaze,uncommon,Multicolor
Professor Dellian Fel,mythic,Multicolor
Pterafractyl,common,Multicolor
Pull from the Grave,common,B
Pursue the Past,common,Multicolor
Pyretic Ritual,special,R
Quandrix Charm,uncommon,Multicolor
"Quandrix, the Proof",mythic,Multicolor
Quick Study,common,U
Quill-Blade Laureate,uncommon,W
Rabid Attack,uncommon,B
"Ral Zarek, Guest Lecturer",mythic,B
Rancorous Archaic,common,Colorless
Rapier Wit,common,W
Rapturous Moment,uncommon,Multicolor
Rearing Embermare,common,R
Rehearsed Debater,common,W
Render Speechless,common,Multicolor
Repel Calamity,special,W
Reprieve,special,W
Requisition Raid,special,W
Resonating Lute,rare,Multicolor
Restoration Seminar,mythic,W
Return the Favor,special,R
Return to the Ranks,special,W
Root Manipulation,uncommon,Multicolor
Royal Treatment,special,G
Rubble Rouser,common,R
Run Behind,common,U
"Sanar, Unfinished Genius",uncommon,Multicolor
Scathing Shadelock,uncommon,B
Scheming Silvertongue,rare,B
Scolding Administrator,uncommon,Multicolor
Seize the Spoils,common,R
Send in the Pest,common,B
Shamanic Revelation,special,G
Shared Roots,special,G
Shattered Acolyte,common,W
Shattered Sanctum,rare,Multicolor
Sheoldred's Edict,special,B
Shopkeeper's Bane,common,G
Silverquill Charm,uncommon,Multicolor
"Silverquill, the Disputant",mythic,Multicolor
Skycoach Conductor,rare,U
Skycoach Waypoint,uncommon,Colorless
Sleight of Hand,special,U
Slumbering Trudge,rare,G
Smallpox,special,B
Snarl Song,uncommon,G
Sneering Shadewriter,common,B
Snooping Page,uncommon,Multicolor
Soaring Stoneglider,uncommon,W
Social Snub,uncommon,Multicolor
Spectacle Summit,common,Multicolor
Spectacular Skywhale,uncommon,Multicolor
Spell Pierce,special,U
Spellbook Seeker,common,U
Spirit Mascot,common,Multicolor
Spiritcall Enthusiast,uncommon,W
Splatter Technique,rare,Multicolor
Stadium Tidalmage,common,Multicolor
Stand Up for Yourself,uncommon,W
Stargaze,special,B
Startled Relic Sloth,uncommon,Multicolor
Steal the Show,rare,R
Stirring Honormancer,uncommon,Multicolor
Stirring Hopesinger,rare,W
Stock Up,special,U
Stone Docent,common,W
Stormcarved Coast,rare,Multicolor
Stress Dream,uncommon,Multicolor
Strife Scholar,common,R
Strixhaven Skycoach,uncommon,Colorless
Studious First-Year,common,G
Subterranean Tremors,special,R
Summoned Dromedary,uncommon,W
Sundering Archaic,uncommon,Colorless
Sundown Pass,rare,Multicolor
Suspend Aggression,rare,Multicolor
Sylvan Library,special,G
Tablet of Discovery,uncommon,R
Tackle Artist,common,R
"Tam, Observant Sequencer",uncommon,Multicolor
Teacher's Pest,uncommon,Multicolor
Tenured Concocter,common,G
Terramorphic Expanse,common,Colorless
Tester of the Tangential,uncommon,U
Textbook Tabulator,common,U
The Dawning Archaic,mythic,Colorless
Thornfist Striker,uncommon,G
Thunderdrum Soloist,uncommon,R
Titan's Grave,common,Multicolor
Together as One,rare,Colorless
Tome Blast,common,R
Topiary Lecturer,uncommon,G
Tragedy Feaster,rare,B
Transcendent Archaic,uncommon,Colorless
Traumatic Critique,rare,Multicolor
Triumph of the Hordes,special,G
Ulna Alley Shopkeep,common,B
Unsubtle Mockery,common,R
Vampiric Tutor,special,B
Vastlands Scavenger,rare,G
Veil of Summer,special,G
Vibrant Outburst,uncommon,Multicolor
Vicious Rivalry,rare,Multicolor
Visionary's Dance,common,Multicolor
Wander Off,common,B
Wild Hypothesis,common,G
Wildgrowth Archaic,rare,G
Wilt in the Heat,common,Multicolor
Winds of Abandon,special,W
Wisdom of Ages,rare,U
Witherbloom Charm,uncommon,Multicolor
"Witherbloom, the Balancer",mythic,Multicolor
Withering Curse,mythic,B
Zaffai and the Tempests,rare,Multicolor
Zealous Lorecaster,common,R
Zimone's Experiment,uncommon,G
Zombify,special,B
