name,rarity,color_identity
Lake-town Mariners,uncommon,U
Lake-town Toymaker,uncommon,W
Lakeshore Apothecary,common,U
Large Bear,uncommon,Multicolor
Last Light of Durin's Day,rare,R
Little Bear,common,G
Long Lake Nuisance,common,U
Long-Bodied Grey Dog,common,Colorless
Magnificent End,common,W
Master's Councillors,uncommon,U
Mirkwood,common,Multicolor
Mirkwood Meditator,common,U
Mirkwood Nurturer,common,Multicolor
Mirkwood Pathmaker,uncommon,G
Misty Mountains Raider,uncommon,R
Moment of Glory,common,W
Most Decrepit Old Bird,rare,U
My Precious,rare,B
Nasty Little Rabbit,uncommon,G
Nighthowl Pursuer,uncommon,B
"Nori, Teller of Tales",common,Multicolor
Old Fat Spider,uncommon,G
Old Fat Spider Can't See Me,uncommon,U
Old Thrush,common,Colorless
"Orcrist, Goblin-cleaver",mythic,Colorless
Ordinary Bear,common,G
"Ori, Keeper of Songs",common,W
Part in Friendship,rare,G
Patient Instructor,common,Multicolor
Pinecone Strike,common,R
Plunder the Trollshaws,common,U
Quarrel,common,G
Radagast of Rhosgobel,rare,G
Rage into the Valley,common,B
Ragged Short Spear,common,R
Ravenhill Flock,uncommon,U
Ravening Warg,common,B
Reverent Howl,common,B
Rhovanion Rampager,rare,B
Riddles in the Dark,rare,U
"Roads Go Ever, Ever On",rare,W
Roll-Roll-Roll-Roll,rare,U
Settle the Wreckage,rare,W
Silvan Reveler,uncommon,Multicolor
Smaug the Magnificent,mythic,R
Smaug's Fury,common,R
"Smaug, Wicked Worm",rare,Multicolor
"Smaug, the Great Calamity",common,R
Snowslope Hunter,uncommon,R
Sound the Trumpets,uncommon,U
"Sting, Bilbo's Sword",rare,Colorless
Stir Up Trouble,common,B
Stone by Sunlight,uncommon,W
Stone-Giant of High Pass,rare,R
Stony-Voiced Goblins,common,B
Supper for Spiders,rare,B
The Arkenstone,mythic,W
The Black Arrow,uncommon,Colorless
The Chief Warg,uncommon,Multicolor
The Eagles Are Coming!,rare,W
The Great Goblin,rare,Multicolor
The Lonely Mountain,rare,R
The Lord of the Eagles,rare,U
The Master of Lake-town,rare,B
The Misty Mountains Cold,rare,R
The Mountain-king's Return,uncommon,W
The Notary Hobbits,rare,G
The Queen of Dale,mythic,W
The Sackville-Bagginses,rare,B
Thorin Oakenshield,uncommon,Multicolor
Thorin's Last Stand,common,W
"Thorin, Mountain-king",mythic,R
Thranduil's Company,rare,Multicolor
Thranduil's Decree,uncommon,U
"Thranduil, Sindarin Liege",uncommon,Multicolor
"Thranduil, the Elvenking",rare,Multicolor
Through the Forest Gate,rare,G
Thrór's Map,uncommon,Colorless
Tidings of War,common,R
"Tom, Bert, and William",rare,Multicolor
Troll Negotiations,uncommon,G
Troop of Ponies,uncommon,Colorless
Uncover the Moon-Letters,rare,U
Uneasy Partings,common,U
Velvetwing Butterflies,common,W
Vow to Erebor,common,W
Warg Tactics,common,G
Wargling,common,G
Well-Worn Spatula,common,Colorless
Wilderland Scrounger,uncommon,G
Wizard's Staff,rare,U
Wood Elves,common,G
Woodland Weavemaster,uncommon,G
Óin the Brave,common,R
