name,rarity,color_identity
Damn,rare,Multicolor
Dark Confidant,mythic,B
Dark Depths,mythic,Colorless
Dark Ritual,rare,B
Darkslick Shores,rare,Multicolor
Dauthi Voidwalker,rare,B
Daze,common,U
Death-Greeter's Champion,rare,R
Deathrite Shaman,rare,Multicolor
Deep-Cavern Bat,uncommon,B
Demonic Tutor,mythic,B
Descendant of Storms,uncommon,W
Detective's Phoenix,rare,R
Dig Through Time,rare,U
Dismember,mythic,B
Displacer Kitten,rare,U
Draconautics Engineer,rare,R
Dragon's Rage Channeler,uncommon,R
Dreams of Steel and Oil,uncommon,B
Dress Down,rare,U
Duelist of the Mind,rare,U
Duress,common,B
Echo of Eons,rare,U
Elder Gargaroth,mythic,G
Elegant Parlor,rare,Multicolor
Elegy Acolyte,rare,B
Elite Spellbinder,rare,W
"Elspeth, Storm Slayer",mythic,W
Elvish Mystic,common,G
Elvish Reclaimer,rare,G
Emperor of Bones,rare,B
"Emrakul, the Aeons Torn",mythic,Colorless
Endurance,mythic,G
Enduring Curiosity,rare,U
Enduring Innocence,rare,W
Enlightened Tutor,uncommon,W
Entomb,rare,B
Ephemerate,rare,W
Ertai Resurrected,rare,Multicolor
Esika's Chariot,rare,G
Esper Sentinel,rare,W
"Etali, Primal Conqueror",rare,Multicolor
Eternal Witness,uncommon,G
Expedition Map,common,Colorless
Exploration,rare,G
Explore,common,G
Expressive Iteration,uncommon,Multicolor
Fable of the Mirror-Breaker,rare,R
Fabled Passage,rare,Colorless
Faerie Mastermind,rare,U
Faithless Looting,rare,R
Fallen Shinobi,rare,Multicolor
Fanatic of Rhonas,rare,G
Fastbond,mythic,G
Fatal Push,uncommon,B
Fear of Missing Out,rare,R
Field of the Dead,rare,Colorless
Fiery Confluence,rare,R
Fiery Islet,rare,Multicolor
Figure of Destiny,rare,Multicolor
Fire Covenant,uncommon,Multicolor
Fireblast,uncommon,R
Flame Slash,common,R
Flash,rare,U
Flickerwisp,uncommon,W
Flooded Strand,rare,Colorless
Floodfarm Verge,rare,Multicolor
Force of Negation,rare,U
Force of Will,mythic,U
Fractured Identity,mythic,Multicolor
Frantic Search,common,U
Fury,mythic,R
Gaea's Cradle,rare,G
Galvanic Blast,common,R
Galvanic Discharge,common,R
Generous Plunderer,mythic,R
Get Lost,rare,W
Ghostfire Slice,uncommon,R
"Gideon, Ally of Zendikar",mythic,W
Gitaxian Probe,common,U
Giver of Runes,rare,W
Glimmer Lens,rare,W
Gloomlake Verge,rare,Multicolor
Glorybringer,rare,R
Go for the Throat,uncommon,B
"Goben, Gene-Splice Savant",mythic,Multicolor
Goblin Bombardment,rare,R
Goblin Rabblemaster,rare,R
Godless Shrine,rare,Multicolor
Goldspan Dragon,mythic,R
"Golos, Tireless Pilgrim",rare,Multicolor
Grave Titan,mythic,B
Green Sun's Zenith,rare,G
Grief,mythic,B
Grim Lavamancer,rare,R
Grim Monolith,rare,Colorless
Griselbrand,mythic,B
"Grist, the Hunger Tide",mythic,Multicolor
Guide of Souls,rare,W
"Gut, True Soul Zealot",uncommon,R
Hallowed Fountain,rare,Multicolor
Harvester of Misery,mythic,B
Haywire Mite,uncommon,G
Hazoret the Fervent,mythic,R
Hedge Maze,rare,Multicolor
Hellrider,rare,R
Hired Claw,rare,R
Hullbreacher,rare,U
Hushwood Verge,rare,Multicolor
Hymn to Tourach,uncommon,B
Icetill Explorer,rare,G
Ignoble Hierarch,rare,Multicolor
Indatha Triome,rare,Multicolor
Inquisition of Kozilek,rare,B
Inspiring Vantage,rare,Multicolor
"Inti, Seneschal of the Sun",rare,R
Intrepid Adversary,mythic,W
"Ivora, Insatiable Heir",uncommon,R
"Jace, Vryn's Prodigy",mythic,U
"Jace, Wielder of Mysteries",rare,U
"Jace, the Mind Sculptor",mythic,U
"Jadar, Ghoulcaller of Nephalia",rare,B
Jetmir's Garden,rare,Multicolor
Kaldra Compleat,mythic,Colorless
Kappa Cannoneer,rare,U
Karakas,mythic,W
"Kari Zev, Skyship Raider",rare,R
"Karn, Scion of Urza",mythic,Colorless
Keen-Eyed Curator,rare,G
"Kellan, Planar Trailblazer",rare,R
Ketria Triome,rare,Multicolor
Knight of the Reliquary,rare,Multicolor
Kolaghan's Command,rare,Multicolor
"Kroxa, Titan of Death's Hunger",mythic,Multicolor
Kumano Faces Kakkazan,uncommon,R
"Kytheon, Hero of Akros",mythic,W
"Laelia, the Blade Reforged",rare,R
Lavaspur Boots,uncommon,Colorless
Legion Extruder,mythic,R
"Leovold, Emissary of Trest",mythic,Multicolor
Leyline Binding,rare,W
Library of Alexandria,mythic,Colorless
Life // Death,uncommon,Multicolor
Lightning Bolt,rare,R
Lightning Greaves,uncommon,Colorless
Lightning Helix,rare,Multicolor
Lightstall Inquisitor,rare,W
Liliana of the Veil,mythic,B
Lingering Souls,uncommon,Multicolor
Lion Sash,rare,W
Lion's Eye Diamond,mythic,Colorless
Llanowar Elves,common,G
"Loot, the Pathfinder",mythic,Multicolor
Loran of the Third Path,rare,W
Lotus Cobra,rare,G
Lotus Petal,common,Colorless
"Luis, Pompous Pillager",rare,B
Luminarch Aspirant,rare,W
Lurrus of the Dream-Den,rare,Multicolor
Lush Portico,rare,Multicolor
"Lutri, the Spellchaser",rare,Multicolor
"Magda, Brazen Outlaw",rare,R
"Makdee and Itla, Skysnarers",rare,Multicolor
"Malcolm, Alluring Scoundrel",rare,U
Malevolent Rumble,common,G
Mana Confluence,rare,Colorless
Mana Crypt,mythic,Colorless
Mana Drain,mythic,U
Mana Leak,common,U
Mana Tithe,rare,W
Mana Vault,mythic,Colorless
Manamorphose,uncommon,Multicolor
March of Otherworldly Light,rare,W
Marsh Flats,rare,Colorless
Memory Jar,rare,Colorless
Memory Lapse,rare,U
Meticulous Archive,rare,Multicolor
Mind Twist,rare,B
Mine Collapse,common,R
"Minsc & Boo, Timeless Heroes",mythic,Multicolor
Miscalculation,common,U
Mishra's Bauble,uncommon,Colorless
Mishra's Workshop,mythic,Colorless
Misty Rainforest,rare,Colorless
Monastery Mentor,mythic,W
Monastery Swiftspear,uncommon,R
Monstrous Rage,uncommon,R
Mosswood Dreadknight,rare,Multicolor
Mother of Runes,uncommon,W
Mox Diamond,rare,Colorless
Mox Emerald,mythic,G
Mox Jet,mythic,B
Mox Opal,mythic,Colorless
Mox Pearl,mythic,W
Mox Ruby,mythic,R
Mox Sapphire,mythic,U
Multiversal Passage,rare,Colorless
Murderous Cut,uncommon,B
Myr Battlesphere,rare,Colorless
Mystic Confluence,rare,U
Mystical Tutor,uncommon,U
"Nadu, Winged Wisdom",rare,Multicolor
"Narset, Parter of Veils",uncommon,U
Natural Order,mythic,G
Necromancy,uncommon,B
Nethergoyf,mythic,B
Nettlecyst,rare,Colorless
Nexus of Becoming,mythic,Colorless
"Nia, Skysail Storyteller",mythic,Multicolor
Night's Whisper,common,B
"Nissa, Ascended Animist",mythic,G
"Nissa, Resurgent Animist",mythic,G
"Nissa, Who Shakes the World",rare,G
No More Lies,uncommon,Multicolor
Noble Hierarch,rare,Multicolor
Nova Hellkite,rare,R
Ocelot Pride,mythic,W
"Oko, Thief of Crowns",mythic,Multicolor
"Omnath, Locus of Creation",mythic,Multicolor
Once Upon a Time,rare,G
"Otawara, Soaring City",rare,U
Ouroboroid,mythic,G
Oust,uncommon,W
Outland Liberator,uncommon,G
Overgrown Tomb,rare,Multicolor
Overlord of the Balemurk,mythic,B
Overlord of the Boilerbilges,mythic,R
Overlord of the Mistmoors,mythic,W
Parallax Wave,rare,W
Path to Exile,rare,W
Pentad Prism,common,Colorless
Persist,mythic,B
Pest Infestation,rare,G
Phantasmal Image,mythic,U
"Phelia, Exuberant Shepherd",rare,W
"Phlage, Titan of Fire's Fury",mythic,Multicolor
Phyrexian Metamorph,rare,U
Phyrexian Revoker,rare,Colorless
Pick Your Poison,common,G
Pillage the Bog,rare,Multicolor
Pinnacle Emissary,rare,Multicolor
Plateau,rare,Multicolor
Polluted Delta,rare,Colorless
Ponder,common,U
Portable Hole,uncommon,W
Portal to Phyrexia,mythic,Colorless
Preacher of the Schism,rare,B
Preordain,common,U
Primeval Titan,mythic,G
Prismatic Ending,mythic,W
Prismatic Vista,mythic,Colorless
Proft's Eidetic Memory,rare,U
Psychic Frog,rare,Multicolor
Pyrite Spellbomb,common,R
Pyrogoyf,rare,R
Pyrokinesis,uncommon,R
Qarsi Revenant,rare,B
Quantum Riddler,mythic,U
Questing Beast,mythic,G
Questing Druid,rare,Multicolor
Raffine's Tower,rare,Multicolor
"Ragavan, Nimble Pilferer",mythic,R
Ramunap Excavator,rare,G
Raucous Theater,rare,Multicolor
Raugrin Triome,rare,Multicolor
Razorverge Thicket,rare,Multicolor
Reanimate,rare,B
Reckoner Bankbuster,rare,Colorless
Reclamation Sage,uncommon,G
Recurring Nightmare,rare,B
Regrowth,rare,G
Remand,uncommon,U
Reprieve,uncommon,W
Restless Cottage,rare,Multicolor
Restless Fortress,rare,Multicolor
Restless Prairie,rare,Multicolor
Restless Ridgeline,rare,Multicolor
Restless Vents,rare,Multicolor
Restless Vinestalk,rare,Multicolor
Retrofitter Foundry,rare,Colorless
Riverpyre Verge,rare,Multicolor
Robber of the Rich,mythic,R
"Rofellos, Llanowar Emissary",rare,G
Sacred Foundry,rare,Multicolor
Sage of the Skies,rare,W
"Saheeli, Sublime Artificer",uncommon,Multicolor
Sanguine Evangelist,rare,W
Savai Triome,rare,Multicolor
Savannah,rare,Multicolor
Scalding Tarn,rare,Colorless
Scavenging Ooze,rare,G
Screaming Nemesis,mythic,R
Scrubland,rare,Multicolor
Scythecat Cub,rare,G
Seachrome Coast,rare,Multicolor
Seasoned Pyromancer,mythic,R
Seething Song,common,R
Sentinel of the Nameless City,rare,G
Serra Paragon,mythic,W
Shadowspear,rare,Colorless
Shadowy Backstreet,rare,Multicolor
Shelldock Isle,rare,U
Sheoldred's Edict,uncommon,B
"Sheoldred, the Apocalypse",mythic,B
Shifting Woodland,rare,G
Show and Tell,mythic,U
Showdown of the Skalds,rare,Multicolor
Sink into Stupor,uncommon,U
Six,rare,G
Skullclamp,uncommon,Colorless
Skyclave Apparition,rare,W
Sleight of Hand,common,U
Smuggler's Copter,rare,Colorless
Snapcaster Mage,mythic,U
Sneak Attack,mythic,R
Snuff Out,common,B
Sol Ring,mythic,Colorless
Solitude,mythic,W
Sorin of House Markov,mythic,B
Soul-Guide Lantern,uncommon,Colorless
Souls of the Lost,rare,B
Sowing Mycospawn,rare,G
Spara's Headquarters,rare,Multicolor
Spell Pierce,common,U
Spirebluff Canal,rare,Multicolor
Splitskin Doll,uncommon,W
Springheart Nantuko,rare,G
Staff of the Storyteller,rare,W
Steam Vents,rare,Multicolor
Stock Up,uncommon,U
Stomping Ground,rare,Multicolor
Stoneforge Mystic,mythic,W
Strip Mine,mythic,Colorless
Subtlety,mythic,U
Sunbaked Canyon,rare,Multicolor
Sunbillow Verge,rare,Multicolor
Sundering Titan,mythic,Colorless
Sunfall,rare,W
"Surrak, Elusive Hunter",rare,G
Survival of the Fittest,rare,G
Sword of Fire and Ice,mythic,Colorless
Swords to Plowshares,rare,W
Sylvan Caryatid,rare,G
Sylvan Safekeeper,rare,G
Taiga,rare,Multicolor
"Takenuma, Abandoned Mire",rare,B
Talisman of Conviction,uncommon,Multicolor
Talisman of Creativity,uncommon,Multicolor
Talisman of Curiosity,uncommon,Multicolor
Talisman of Dominance,uncommon,Multicolor
Talisman of Hierarchy,uncommon,Multicolor
Talisman of Impulse,uncommon,Multicolor
Talisman of Indulgence,uncommon,Multicolor
Talisman of Progress,uncommon,Multicolor
Talisman of Resilience,uncommon,Multicolor
Talisman of Unity,uncommon,Multicolor
"Tamiyo, Collector of Tales",rare,Multicolor
"Tamiyo, Inquisitive Student",mythic,U
Tarmogoyf,mythic,G
Tear Asunder,uncommon,Multicolor
"Teferi, Hero of Dominaria",mythic,Multicolor
"Teferi, Time Raveler",rare,Multicolor
Temple Garden,rare,Multicolor
Tendrils of Agony,rare,B
Territorial Kavu,rare,Multicolor
Tersa Lightshatter,rare,R
"Tezzeret, Cruel Captain",mythic,Colorless
"Thalia, Guardian of Thraben",rare,W
The Endstone,mythic,Colorless
The Mightstone and Weakstone,rare,Colorless
The Wandering Emperor,mythic,W
Thespian's Stage,rare,Colorless
Thieving Skydiver,rare,U
Third Path Iconoclast,uncommon,Multicolor
Thirst for Discovery,uncommon,U
Thornspire Verge,rare,Multicolor
Thoughtseize,rare,B
Thraben Inspector,common,W
Three Steps Ahead,rare,U
Thundering Falls,rare,Multicolor
Thundertrap Trainer,rare,U
Time Spiral,rare,U
Time Walk,mythic,U
Time Warp,mythic,U
Timetwister,mythic,U
Tinker,uncommon,U
Tireless Tracker,rare,G
Tishana's Tidebinder,rare,U
"Titania, Protector of Argoth",mythic,G
Tolarian Academy,mythic,U
"Torsten, Founder of Benalia",mythic,Multicolor
Touch the Spirit Realm,uncommon,W
Toxic Deluge,rare,B
Treasure Cruise,common,U
Tribal Flames,uncommon,R
Trinket Mage,common,U
Triplicate Titan,rare,Colorless
Tropical Island,rare,Multicolor
Trumpeting Carnosaur,rare,R
Tundra,rare,Multicolor
"Ugin, Eye of the Storms",mythic,Colorless
"Ulamog, the Ceaseless Hunger",mythic,Colorless
"Ulamog, the Infinite Gyre",mythic,Colorless
Ulvenwald Oddity,rare,G
Umezawa's Jitte,rare,Colorless
Unburial Rites,uncommon,Multicolor
Undercity Sewers,rare,Multicolor
Underground Mortuary,rare,Multicolor
Underground Sea,rare,Multicolor
Underworld Breach,rare,R
Unearth,common,B
Unexpectedly Absent,rare,W
Unholy Heat,common,R
Unlicensed Hearse,rare,Colorless
Up the Beanstalk,uncommon,G
Upheaval,rare,U
"Uro, Titan of Nature's Wrath",mythic,Multicolor
Urza's Bauble,uncommon,Colorless
Urza's Saga,rare,Colorless
"Urza, Lord High Artificer",mythic,U
Utopia Sprawl,uncommon,G
"Valki, God of Lies",mythic,Multicolor
Vampire Hexmage,uncommon,B
Vampiric Tutor,mythic,B
Vaultborn Tyrant,mythic,G
Verdant Catacombs,rare,Colorless
Vindicate,rare,Multicolor
Virtue of Loyalty,mythic,W
Virtue of Persistence,mythic,B
Voice of Victory,rare,W
Volcanic Island,rare,Multicolor
Voldaren Epicure,common,R
Wasteland,uncommon,Colorless
Wastewood Verge,rare,Multicolor
Watery Grave,rare,Multicolor
Wheel of Fortune,mythic,R
Wight of the Reliquary,rare,Multicolor
Willowrush Verge,rare,Multicolor
Winds of Abandon,rare,W
Windswept Heath,rare,Colorless
Wishclaw Talisman,rare,B
Witch Enchanter,uncommon,W
Woe Strider,rare,B
Wooded Foothills,rare,Colorless
Woodfall Primus,rare,G
Worldspine Wurm,mythic,G
Wrath of God,rare,W
Wrenn and Six,mythic,Multicolor
Xander's Lounge,rare,Multicolor
"Yavimaya, Cradle of Growth",rare,Colorless
Yawgmoth's Will,rare,B
"Yawgmoth, Thran Physician",mythic,B
"Yera and Oski, Weaver and Guide",rare,W
Zagoth Triome,rare,Multicolor
Ziatora's Proving Ground,rare,Multicolor
Zuran Orb,uncommon,Colorless
